Country Name,Latitude (average),Longitude (average),Series Name,Series Code,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Lesotho,-29.5,28.5,Battle-related deaths (number of people),VC.BTL.DETH,LSO,..,..,..,..,..,..,..,..,68,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liberia,6.5,-9.5,Battle-related deaths (number of people),VC.BTL.DETH,LBR,339,..,..,5,..,..,..,..,..,..,57,341,492,1787,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,47.1667,9.5333,Battle-related deaths (number of people),VC.BTL.DETH,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,56.0,24.0,Battle-related deaths (number of people),VC.BTL.DETH,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,49.75,6.1667,Battle-related deaths (number of people),VC.BTL.DETH,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Madagascar,-20.0,47.0,Battle-related deaths (number of people),VC.BTL.DETH,MDG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malawi,-13.5,34.0,Battle-related deaths (number of people),VC.BTL.DETH,MWI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Malaysia,2.5,112.5,Battle-related deaths (number of people),VC.BTL.DETH,MYS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70,..,..,..,..
Maldives,3.25,73.0,Battle-related deaths (number of people),VC.BTL.DETH,MDV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mali,17.0,-4.0,Battle-related deaths (number of people),VC.BTL.DETH,MLI,203,..,..,..,106,..,..,..,..,..,..,..,..,..,..,12,..,39,112,126,28,18,218,808,189,129,96,..
